2024-03-05 09:33:24,222: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=dark, base-color=violet] (#cbdee7bb->#cbdee7bb).
2024-03-05 09:33:24,223: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=dark, base-color=violetflat] (#cbdee7bb->#cbdee7bb).
2024-03-05 09:33:24,224: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=dark, base-color=green] (#cbdee7bb->#cbdee7bb).
2024-03-05 09:33:24,225: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=dark, base-color=skyblue] (#cbdee7bb->#cbdee7bb).
2024-03-05 09:33:24,225: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=dark, base-color=red] (#cbdee7bb->#cbdee7bb).
2024-03-05 09:33:24,226: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=light, base-color=violet] (#6015af->#6015af).
2024-03-05 09:33:24,227: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=light, base-color=violetflat] (#5a6ee0->#5a6ee0).
2024-03-05 09:33:24,228: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=light, base-color=green] (#2A898E->#2A898E).
2024-03-05 09:33:24,228: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=light, base-color=skyblue] (#426AB5->#426AB5).
2024-03-05 09:33:24,229: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=light, base-color=red] (#A83453->#A83453).
2024-03-05 09:33:24,230: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=dark, base-color=violet] (#364953->#364953).
2024-03-05 09:33:24,230: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=dark, base-color=violetflat] (#364953->#364953).
2024-03-05 09:33:24,231: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=dark, base-color=green] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,232: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=dark, base-color=skyblue] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,233: INFO  – Color K2BT_MainButtonBackground changed for options [color-variant=dark, base-color=red] (#EF4874->#EF4874).
2024-03-05 09:33:24,233: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=light, base-color=violet] (#6015afbb->#6015afbb).
2024-03-05 09:33:24,234: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=light, base-color=violetflat] (#5a6ee0bb->#5a6ee0bb).
2024-03-05 09:33:24,235: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=light, base-color=green] (#2A898Ebb->#2A898Ebb).
2024-03-05 09:33:24,236: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=light, base-color=skyblue] (#426AB5bb->#426AB5bb).
2024-03-05 09:33:24,238: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=light, base-color=red] (#A83453bb->#A83453bb).
2024-03-05 09:33:24,239: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=dark, base-color=violet] (#364953bb->#364953bb).
2024-03-05 09:33:24,239: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=dark, base-color=violetflat] (#364953bb->#364953bb).
2024-03-05 09:33:24,240: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=dark, base-color=green] (#35ADB4bb->#35ADB4bb).
2024-03-05 09:33:24,241: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=dark, base-color=skyblue] (#5E94FFbb->#5E94FFbb).
2024-03-05 09:33:24,242: INFO  – Color K2BT_MainButtonBackgroundHover changed for options [color-variant=dark, base-color=red] (#EF4874bb->#EF4874bb).
2024-03-05 09:33:24,242: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=light, base-color=violet] (#fff->#fff).
2024-03-05 09:33:24,243: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=light, base-color=violetflat] (#fff->#fff).
2024-03-05 09:33:24,244: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=light, base-color=green] (#fff->#fff).
2024-03-05 09:33:24,245: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=light, base-color=skyblue] (#fff->#fff).
2024-03-05 09:33:24,245: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=light, base-color=red] (#fff->#fff).
2024-03-05 09:33:24,246: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=dark, base-color=violet] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,247: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=dark, base-color=violetflat] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,248: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=dark, base-color=green] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,248: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=dark, base-color=skyblue] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,249: INFO  – Color K2BT_TextOverMainButtonBackground changed for options [color-variant=dark, base-color=red] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,250: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=light, base-color=violet] (#6015af->#6015af).
2024-03-05 09:33:24,251: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=light, base-color=violetflat] (#5a6ee0->#5a6ee0).
2024-03-05 09:33:24,251: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=light, base-color=green] (#2A898E->#2A898E).
2024-03-05 09:33:24,252: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=light, base-color=skyblue] (#426AB5->#426AB5).
2024-03-05 09:33:24,253: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=light, base-color=red] (#A83453->#A83453).
2024-03-05 09:33:24,254: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=dark, base-color=violet] (#9d86ef->#9d86ef).
2024-03-05 09:33:24,255: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=dark, base-color=violetflat] (#9d86ef->#9d86ef).
2024-03-05 09:33:24,256: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=dark, base-color=green] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,257: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=dark, base-color=skyblue] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,257: INFO  – Color K2BT_PaginationCurrentBackground changed for options [color-variant=dark, base-color=red] (#EF4874->#EF4874).
2024-03-05 09:33:24,258: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=light, base-color=violet] (#fff->#fff).
2024-03-05 09:33:24,258: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=light, base-color=violetflat] (#fff->#fff).
2024-03-05 09:33:24,259: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=light, base-color=green] (#fff->#fff).
2024-03-05 09:33:24,260: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=light, base-color=skyblue] (#fff->#fff).
2024-03-05 09:33:24,261: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=light, base-color=red] (#fff->#fff).
2024-03-05 09:33:24,261: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=dark, base-color=violet] (#37444e->#37444e).
2024-03-05 09:33:24,263: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=dark, base-color=violetflat] (#37444e->#37444e).
2024-03-05 09:33:24,263: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=dark, base-color=green] (#37444e->#37444e).
2024-03-05 09:33:24,264: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=dark, base-color=skyblue] (#37444e->#37444e).
2024-03-05 09:33:24,265: INFO  – Color K2BT_PaginationCurrentText changed for options [color-variant=dark, base-color=red] (#37444e->#37444e).
2024-03-05 09:33:24,265: INFO  – Color K2BT_MsgError changed (#f04e23->#f04e23).
2024-03-05 09:33:24,266: INFO  – Color K2BT_MsgWarning changed (#f58220->#f58220).
2024-03-05 09:33:24,267: INFO  – Color K2BT_MsgSuccess changed (#0ec776->#0ec776).
2024-03-05 09:33:24,268: INFO  – Color K2BT_MsgInfo changed (#16b0c7->#16b0c7).
2024-03-05 09:33:24,268: INFO  – Color K2BT_ColumnNotOkBackground changed (#f4efea->#f4efea).
2024-03-05 09:33:24,270: INFO  – Color K2BT_ColumnGreenWithBackground changed (#009688->#009688).
2024-03-05 09:33:24,270: INFO  – Color K2BT_ColumnGreenWithBackgroundBackground changed (#e0f2f1->#e0f2f1).
2024-03-05 09:33:24,271: INFO  – Color K2BT_ColumnRedWithBackground changed (#f44336->#f44336).
2024-03-05 09:33:24,272: INFO  – Color K2BT_ColumnRedWithBackgroundBackground changed (#ffebee->#ffebee).
2024-03-05 09:33:24,273: INFO  – Color K2BT_ColumnBlueWithBackground changed (#2196f3->#2196f3).
2024-03-05 09:33:24,274: INFO  – Color K2BT_ColumnBlueWithBackgroundBackground changed (#e3f2fd->#e3f2fd).
2024-03-05 09:33:24,274: INFO  – Color K2BT_ColumnYellowWithBackground changed (#f9a825->#f9a825).
2024-03-05 09:33:24,275: INFO  – Color K2BT_ColumnYellowWithBackgroundBackground changed (#fffde7->#fffde7).
2024-03-05 09:33:24,276: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=light, base-color=violet] (#EF4874->#EF4874).
2024-03-05 09:33:24,277: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=light, base-color=violetflat] (#EF4874->#EF4874).
2024-03-05 09:33:24,277: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=light, base-color=green] (#EF4874->#EF4874).
2024-03-05 09:33:24,278: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=light, base-color=skyblue] (#EF4874->#EF4874).
2024-03-05 09:33:24,279: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=light, base-color=red] (#EF4874->#EF4874).
2024-03-05 09:33:24,280: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=dark, base-color=violet] (#FB836F->#FB836F).
2024-03-05 09:33:24,280: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=dark, base-color=violetflat] (#FB836F->#FB836F).
2024-03-05 09:33:24,281: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=dark, base-color=green] (#FB836F->#FB836F).
2024-03-05 09:33:24,282: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=dark, base-color=skyblue] (#FB836F->#FB836F).
2024-03-05 09:33:24,283: INFO  – Color K2BT_AnalysisColor2 changed for options [color-variant=dark, base-color=red] (#FB836F->#FB836F).
2024-03-05 09:33:24,284: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=light, base-color=violet] (#7142CE->#7142CE).
2024-03-05 09:33:24,285: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=light, base-color=violetflat] (#7142CE->#7142CE).
2024-03-05 09:33:24,286: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=light, base-color=green] (#7142CE->#7142CE).
2024-03-05 09:33:24,287: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=light, base-color=skyblue] (#7142CE->#7142CE).
2024-03-05 09:33:24,287: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=light, base-color=red] (#7142CE->#7142CE).
2024-03-05 09:33:24,288: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=dark, base-color=violet] (#4FC0E8->#4FC0E8).
2024-03-05 09:33:24,289: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=dark, base-color=violetflat] (#4FC0E8->#4FC0E8).
2024-03-05 09:33:24,290: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=dark, base-color=green] (#4FC0E8->#4FC0E8).
2024-03-05 09:33:24,290: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=dark, base-color=skyblue] (#4FC0E8->#4FC0E8).
2024-03-05 09:33:24,291: INFO  – Color K2BT_AnalysisColor3 changed for options [color-variant=dark, base-color=red] (#4FC0E8->#4FC0E8).
2024-03-05 09:33:24,292: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=light, base-color=violet] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,293: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=light, base-color=violetflat] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,293: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=light, base-color=green] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,294: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=light, base-color=skyblue] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,295: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=light, base-color=red] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,296: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=dark, base-color=violet] (#8BC94D->#8BC94D).
2024-03-05 09:33:24,296: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=dark, base-color=violetflat] (#8BC94D->#8BC94D).
2024-03-05 09:33:24,297: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=dark, base-color=green] (#8BC94D->#8BC94D).
2024-03-05 09:33:24,298: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=dark, base-color=skyblue] (#8BC94D->#8BC94D).
2024-03-05 09:33:24,299: INFO  – Color K2BT_AnalysisColor4 changed for options [color-variant=dark, base-color=red] (#8BC94D->#8BC94D).
2024-03-05 09:33:24,299: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=light, base-color=violet] (#000F90->#000F90).
2024-03-05 09:33:24,300: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=light, base-color=violetflat] (#000F90->#000F90).
2024-03-05 09:33:24,301: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=light, base-color=green] (#000F90->#000F90).
2024-03-05 09:33:24,302: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=light, base-color=skyblue] (#000F90->#000F90).
2024-03-05 09:33:24,303: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=light, base-color=red] (#000F90->#000F90).
2024-03-05 09:33:24,304: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=dark, base-color=violet] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,304: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=dark, base-color=violetflat] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,305: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=dark, base-color=green] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,306: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=dark, base-color=skyblue] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,307: INFO  – Color K2BT_AnalysisColor5 changed for options [color-variant=dark, base-color=red] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,308: INFO  – Color K2BT_GenericFilterForeground changed for options [color-variant=light, base-color=violet] (#424242->#424242).
2024-03-05 09:33:24,308: INFO  – Color K2BT_GenericFilterForeground changed for options [color-variant=light, base-color=violetflat] (#424242->#424242).
2024-03-05 09:33:24,309: INFO  – Color K2BT_GenericFilterForeground changed for options [color-variant=light, base-color=green] (#424242->#424242).
2024-03-05 09:33:24,310: INFO  – Color K2BT_GenericFilterForeground changed for options [color-variant=light, base-color=skyblue] (#424242->#424242).
2024-03-05 09:33:24,311: INFO  – Color K2BT_GenericFilterForeground changed for options [color-variant=light, base-color=red] (#424242->#424242).
2024-03-05 09:33:24,311: INFO  – Color K2BT_GenericFilterForeground changed for options [color-variant=dark, base-color=violet] (#cbdee7->#cbdee7).
